ID;rmaNumber;rmaDate;customer_ID;status_code;expectedReturnDate;receivedDate;resolutionDate;totalAmount;currency;resolutionType;resolutionNotes;approvedBy;approvedDate;rejectionReason;trackingNumber
11001001-0000-4000-a000-000000000001;RMA-2024-001001;2024-01-15;31001001-0000-4000-a000-000000000001;CLOSED;2024-01-25;2024-01-24;2024-02-05;899.99;USD;REFUND;TV had dead pixels, full refund issued;John Smith;2024-01-16;;1Z999AA10123456784
11001002-0000-4000-a000-000000000002;RMA-2024-001002;2024-01-20;31001002-0000-4000-a000-000000000002;CLOSED;2024-01-30;2024-01-29;2024-02-10;249.99;USD;REPLACEMENT;Headphones had connection issues, replacement sent;Sarah Johnson;2024-01-21;;1Z999AA10123456785
11001003-0000-4000-a000-000000000003;RMA-2024-001003;2024-02-01;31001003-0000-4000-a000-000000000003;REJECTED;2024-02-10;;;;USD;;;;;Product shows signs of intentional damage and misuse;
11001004-0000-4000-a000-000000000004;RMA-2024-001004;2024-02-05;31001004-0000-4000-a000-000000000004;CLOSED;2024-02-15;2024-02-14;2024-02-25;349.99;USD;REFUND;Chair had manufacturing defect, refund processed;Emily White;2024-02-06;;1Z999AA10123456786
11001005-0000-4000-a000-000000000005;RMA-2024-001005;2024-02-10;31001005-0000-4000-a000-000000000005;CLOSED;2024-02-20;2024-02-19;2024-03-01;89.99;USD;REPLACEMENT;Charger stopped working, warranty replacement;David Lee;2024-02-11;;1Z999AA10123456787
11001006-0000-4000-a000-000000000006;RMA-2024-001006;2024-02-15;31001006-0000-4000-a000-000000000006;CLOSED;2024-02-25;2024-02-24;2024-03-05;599.99;USD;REPAIR;Desk motor repaired and returned to customer;Lisa Chen;2024-02-16;;1Z999AA10123456788
11001007-0000-4000-a000-000000000007;RMA-2024-001007;2024-03-01;31001007-0000-4000-a000-000000000007;CLOSED;2024-03-10;2024-03-09;2024-03-20;299.99;USD;CREDIT;Customer opted for store credit instead of refund;James Brown;2024-03-02;;1Z999AA10123456789
11001008-0000-4000-a000-000000000008;RMA-2024-001008;2024-03-05;31001008-0000-4000-a000-000000000008;REJECTED;2024-03-15;;;;USD;;;;;Return window expired, product purchased over 90 days ago;
11001009-0000-4000-a000-000000000009;RMA-2024-001009;2024-03-10;31001009-0000-4000-a000-000000000009;CLOSED;2024-03-20;2024-03-19;2024-03-30;179.99;USD;REFUND;Wrong size shipped, full refund issued;Robert Kim;2024-03-11;;1Z999AA10123456790
11001010-0000-4000-a000-000000000010;RMA-2024-001010;2024-03-15;31001010-0000-4000-a000-000000000010;CLOSED;2024-03-25;2024-03-24;2024-04-05;1299.99;USD;REPLACEMENT;Sofa fabric had defect, replacement ordered;Jennifer Davis;2024-03-16;;1Z999AA10123456791
11001011-0000-4000-a000-000000000011;RMA-2024-001011;2024-04-01;31001011-0000-4000-a000-000000000011;RESOLVED;2024-04-10;2024-04-09;2024-04-20;1499.99;USD;REPAIR;Laptop screen replaced under warranty;Chris Wilson;2024-04-02;;1Z999AA10123456792
11001012-0000-4000-a000-000000000012;RMA-2024-001012;2024-04-05;31001012-0000-4000-a000-000000000012;INSPECTED;2024-04-15;2024-04-14;;199.99;USD;;Items received and under inspection;Maria Garcia;2024-04-06;;1Z999AA10123456793
11001013-0000-4000-a000-000000000013;RMA-2024-001013;2024-04-10;31001013-0000-4000-a000-000000000013;RECEIVED;2024-04-20;2024-04-19;;399.99;USD;;Package received, awaiting inspection;Kevin Miller;2024-04-11;;1Z999AA10123456794
11001014-0000-4000-a000-000000000014;RMA-2024-001014;2024-04-15;31001014-0000-4000-a000-000000000014;SHIPPED;2024-04-25;;;129.99;USD;;Customer has shipped items back;Nicole Taylor;2024-04-16;;1Z999AA10123456795
11001015-0000-4000-a000-000000000015;RMA-2024-001015;2024-05-01;31001015-0000-4000-a000-000000000015;APPROVED;2024-05-10;;;149.99;USD;;Approved, awaiting shipment from customer;Andrew Thomas;2024-05-02;;
11001016-0000-4000-a000-000000000016;RMA-2024-001016;2024-05-05;31001016-0000-4000-a000-000000000016;APPROVED;2024-05-15;;;79.99;USD;;Return approved, shipping label sent;Michelle Jackson;2024-05-06;;
11001017-0000-4000-a000-000000000017;RMA-2024-001017;2024-05-10;31001017-0000-4000-a000-000000000017;REJECTED;2024-05-20;;;;USD;;;;;Customer account is inactive, cannot process returns;
11001018-0000-4000-a000-000000000018;RMA-2024-001018;2024-05-15;31001018-0000-4000-a000-000000000018;REQUESTED;2024-05-25;;;299.99;USD;;Awaiting approval;;;;
11001019-0000-4000-a000-000000000019;RMA-2024-001019;2024-05-20;31001019-0000-4000-a000-000000000019;REQUESTED;2024-05-25;;;159.99;USD;;Awaiting approval;;;;
11001020-0000-4000-a000-000000000020;RMA-2024-001020;2024-06-01;31001020-0000-4000-a000-000000000020;CLOSED;2024-06-10;2024-06-09;2024-06-20;249.99;USD;REFUND;Product arrived damaged, full refund issued;Susan Clark;2024-06-02;;1Z999AA10123456796
