ID;productNumber;name;description;category;price;currency;warrantyDays;imageUrl;active;createdAt;modifiedAt
a1001001-0000-4000-a000-000000000001;PRD-EL-001;UltraView 55" 4K Smart TV;Premium 4K Smart TV with HDR and voice control;Electronics;899.99;USD;365;;true;;
a1001002-0000-4000-a000-000000000002;PRD-EL-002;ProSound Wireless Headphones;Noise-canceling Bluetooth headphones with 30hr battery;Electronics;249.99;USD;90;;true;;
a1001003-0000-4000-a000-000000000003;PRD-EL-003;SmartFit Activity Tracker;Fitness tracker with heart rate and sleep monitoring;Electronics;129.99;USD;365;;true;;
a1001004-0000-4000-a000-000000000004;PRD-EL-004;PowerBook Pro 15" Laptop;High-performance laptop with 16GB RAM and 512GB SSD;Electronics;1499.99;USD;365;;true;;
a1001005-0000-4000-a000-000000000005;PRD-EL-005;QuickCharge Wireless Charger;Fast wireless charging pad for all Qi devices;Electronics;39.99;USD;90;;true;;
a1001006-0000-4000-a000-000000000006;PRD-FU-001;ComfortCloud Ergonomic Chair;Adjustable office chair with lumbar support;Furniture;349.99;USD;365;;true;;
a1001007-0000-4000-a000-000000000007;PRD-FU-002;ModernDesk Standing Desk;Electric height-adjustable standing desk;Furniture;599.99;USD;365;;true;;
a1001008-0000-4000-a000-000000000008;PRD-FU-003;LuxeSleep Memory Foam Mattress;Queen size memory foam mattress with cooling gel;Furniture;799.99;USD;3650;;true;;
a1001009-0000-4000-a000-000000000009;PRD-FU-004;StyleHome Sectional Sofa;L-shaped sectional sofa with storage ottoman;Furniture;1299.99;USD;730;;true;;
a1001010-0000-4000-a000-000000000010;PRD-FU-005;ClassicWood Dining Table;Solid oak dining table seats 6-8 people;Furniture;899.99;USD;730;;true;;
a1001011-0000-4000-a000-000000000011;PRD-CL-001;PremiumFit Running Shoes;Lightweight running shoes with arch support;Clothing;119.99;USD;90;;true;;
a1001012-0000-4000-a000-000000000012;PRD-CL-002;ActiveWear Jacket;Water-resistant athletic jacket with reflective strips;Clothing;89.99;USD;90;;true;;
a1001013-0000-4000-a000-000000000013;PRD-CL-003;ComfortFlex Yoga Pants;High-waist yoga pants with pockets;Clothing;59.99;USD;30;;true;;
a1001014-0000-4000-a000-000000000014;PRD-CL-004;BusinessPro Dress Shirt;Non-iron dress shirt in multiple colors;Clothing;49.99;USD;30;;true;;
a1001015-0000-4000-a000-000000000015;PRD-CL-005;WinterWarm Down Jacket;Insulated down jacket with hood;Clothing;179.99;USD;90;;true;;
a1001016-0000-4000-a000-000000000016;PRD-KI-001;ChefMaster Knife Set;Professional 15-piece knife set with block;Kitchen;199.99;USD;365;;true;;
a1001017-0000-4000-a000-000000000017;PRD-KI-002;BrewPerfect Coffee Maker;Programmable coffee maker with thermal carafe;Kitchen;129.99;USD;90;;true;;
a1001018-0000-4000-a000-000000000018;PRD-KI-003;MixMaster Stand Mixer;6-quart stand mixer with multiple attachments;Kitchen;299.99;USD;365;;true;;
a1001019-0000-4000-a000-000000000019;PRD-KI-004;AirFry Pro Air Fryer;Digital air fryer with 8 preset cooking modes;Kitchen;149.99;USD;90;;true;;
a1001020-0000-4000-a000-000000000020;PRD-KI-005;BlendForce Blender;High-speed blender with ice crushing capability;Kitchen;89.99;USD;90;;true;;
a1001021-0000-4000-a000-000000000021;PRD-SP-001;TechTennis Racket;Carbon fiber tennis racket with grip tape;Sports;159.99;USD;90;;true;;
a1001022-0000-4000-a000-000000000022;PRD-SP-002;ProPlay Basketball;Official size basketball with superior grip;Sports;39.99;USD;30;;true;;
a1001023-0000-4000-a000-000000000023;PRD-SP-003;FitnessPro Yoga Mat;Extra-thick yoga mat with carrying strap;Sports;49.99;USD;90;;true;;
a1001024-0000-4000-a000-000000000024;PRD-SP-004;PowerLift Dumbbell Set;Adjustable dumbbell set 5-50 lbs;Sports;299.99;USD;365;;true;;
a1001025-0000-4000-a000-000000000025;PRD-SP-005;CyclePro Exercise Bike;Indoor cycling bike with digital display;Sports;449.99;USD;365;;true;;
a1001026-0000-4000-a000-000000000026;PRD-GA-001;GreenGrow Lawn Mower;Self-propelled lawn mower with bag;Garden;399.99;USD;365;;true;;
a1001027-0000-4000-a000-000000000027;PRD-GA-002;TrimPro Hedge Trimmer;Cordless hedge trimmer with battery;Garden;149.99;USD;90;;true;;
a1001028-0000-4000-a000-000000000028;PRD-GA-003;GardenMaster Tool Set;12-piece garden tool set with storage bag;Garden;79.99;USD;90;;true;;
a1001029-0000-4000-a000-000000000029;PRD-GA-004;SmartWater Irrigation System;Automated sprinkler system with timer;Garden;249.99;USD;365;;true;;
a1001030-0000-4000-a000-000000000030;PRD-GA-005;CompostPro Composter;240-gallon tumbling composter;Garden;189.99;USD;365;;true;;
a1001031-0000-4000-a000-000000000031;PRD-TO-001;BuildMaster Drill Set;Cordless drill with 100-piece accessory kit;Tools;179.99;USD;365;;true;;
a1001032-0000-4000-a000-000000000032;PRD-TO-002;PowerSaw Circular Saw;7.25" circular saw with laser guide;Tools;129.99;USD;365;;true;;
a1001033-0000-4000-a000-000000000033;PRD-TO-003;ToolPro Socket Set;245-piece mechanics tool set;Tools;199.99;USD;730;;true;;
a1001034-0000-4000-a000-000000000034;PRD-TO-004;LevelMaster Laser Level;Self-leveling rotary laser with tripod;Tools;249.99;USD;365;;true;;
a1001035-0000-4000-a000-000000000035;PRD-TO-005;WorkBench Pro Tool Bench;Heavy-duty workbench with storage drawers;Tools;449.99;USD;365;;true;;
a1001036-0000-4000-a000-000000000036;PRD-EL-006;SmartHome Security Camera;1080p wireless security camera with night vision;Electronics;89.99;USD;365;;true;;
a1001037-0000-4000-a000-000000000037;PRD-EL-007;VoiceAssist Smart Speaker;AI-powered smart speaker with premium sound;Electronics;179.99;USD;365;;true;;
a1001038-0000-4000-a000-000000000038;PRD-EL-008;GameStation Pro Console;Next-gen gaming console with 1TB storage;Electronics;499.99;USD;365;;true;;
a1001039-0000-4000-a000-000000000039;PRD-EL-009;TabletPro 12" Tablet;12-inch tablet with stylus and keyboard;Electronics;799.99;USD;365;;true;;
a1001040-0000-4000-a000-000000000040;PRD-EL-010;PrintPerfect Color Printer;Wireless all-in-one color printer;Electronics;299.99;USD;90;;true;;
a1001041-0000-4000-a000-000000000041;PRD-HO-001;VacuumPro Robot Vacuum;Smart robot vacuum with auto-charging;Home;399.99;USD;365;;true;;
a1001042-0000-4000-a000-000000000042;PRD-HO-002;AirPure Air Purifier;HEPA air purifier for large rooms;Home;249.99;USD;365;;true;;
a1001043-0000-4000-a000-000000000043;PRD-HO-003;CleanSteam Steam Cleaner;Multi-purpose steam cleaner with attachments;Home;149.99;USD;90;;true;;
