ID;rma_ID;product_ID;quantity;unitPrice;totalPrice;returnReason_code;condition_code;inspectionNotes;inspectionDate;approved
21001001-0000-4000-a000-000000000001;11001001-0000-4000-a000-000000000001;a1001001-0000-4000-a000-000000000001;1;899.99;899.99;DEFECTIVE;DEFECTIVE;Multiple dead pixels found in upper left quadrant of screen;2024-01-25;true
21001002-0000-4000-a000-000000000002;11001002-0000-4000-a000-000000000002;a1001002-0000-4000-a000-000000000002;1;249.99;249.99;DEFECTIVE;OPENED;Bluetooth connection drops intermittently, likely hardware fault;2024-01-30;true
21001003-0000-4000-a000-000000000003;11001003-0000-4000-a000-000000000003;a1001006-0000-4000-a000-000000000006;1;349.99;349.99;DAMAGED;DAMAGED;Chair shows signs of intentional damage, rejection recommended;2024-02-03;false
21001004-0000-4000-a000-000000000004;11001004-0000-4000-a000-000000000004;a1001006-0000-4000-a000-000000000006;1;349.99;349.99;DEFECTIVE;OPENED;Hydraulic mechanism defective, won't stay in raised position;2024-02-15;true
21001005-0000-4000-a000-000000000005;11001005-0000-4000-a000-000000000005;a1001005-0000-4000-a000-000000000005;2;39.99;79.99;DEFECTIVE;OPENED;Both chargers stopped working after 2 weeks of use;2024-02-20;true
21001006-0000-4000-a000-000000000006;11001005-0000-4000-a000-000000000005;a1001036-0000-4000-a000-000000000036;1;89.99;89.99;WRONG_ITEM;NEW;Customer ordered security camera but received smart speaker;2024-02-20;true
21001007-0000-4000-a000-000000000007;11001006-0000-4000-a000-000000000006;a1001007-0000-4000-a000-000000000007;1;599.99;599.99;QUALITY_ISSUE;OPENED;Electric motor making grinding noise, repaired motor assembly;2024-02-25;true
21001008-0000-4000-a000-000000000008;11001007-0000-4000-a000-000000000007;a1001018-0000-4000-a000-000000000018;1;299.99;299.99;NOT_NEEDED;OPENED;Customer no longer needs stand mixer, item in good condition;2024-03-10;true
21001009-0000-4000-a000-000000000009;11001008-0000-4000-a000-000000000008;a1001019-0000-4000-a000-000000000019;1;149.99;149.99;CHANGED_MIND;OPENED;Return window expired, purchased 95 days ago;2024-03-07;false
21001010-0000-4000-a000-000000000010;11001009-0000-4000-a000-000000000009;a1001015-0000-4000-a000-000000000015;1;179.99;179.99;WRONG_ITEM;NEW;Customer ordered XL but received M size jacket;2024-03-20;true
21001011-0000-4000-a000-000000000011;11001010-0000-4000-a000-000000000010;a1001009-0000-4000-a000-000000000009;1;1299.99;1299.99;QUALITY_ISSUE;OPENED;Fabric pilling excessively, manufacturing defect confirmed;2024-03-25;true
21001012-0000-4000-a000-000000000012;11001011-0000-4000-a000-000000000011;a1001004-0000-4000-a000-000000000004;1;1499.99;1499.99;WARRANTY_CLAIM;OPENED;Screen flickering issue, replaced LCD panel under warranty;2024-04-10;true
21001013-0000-4000-a000-000000000013;11001012-0000-4000-a000-000000000012;a1001016-0000-4000-a000-000000000016;1;199.99;199.99;MISSING_PARTS;OPENED;Knife block missing, customer kept knives, sent replacement block;2024-04-15;true
21001014-0000-4000-a000-000000000014;11001013-0000-4000-a000-000000000013;a1001026-0000-4000-a000-000000000026;1;399.99;399.99;DEFECTIVE;DEFECTIVE;Lawn mower engine won't start, checking warranty coverage;;true
21001015-0000-4000-a000-000000000015;11001014-0000-4000-a000-000000000014;a1001017-0000-4000-a000-000000000017;1;129.99;129.99;NOT_AS_DESCRIBED;OPENED;Coffee maker does not have advertised thermal carafe;;true
21001016-0000-4000-a000-000000000016;11001015-0000-4000-a000-000000000015;a1001019-0000-4000-a000-000000000019;1;149.99;149.99;DAMAGED;DAMAGED;Air fryer arrived with dented exterior and scratched display;;true
21001017-0000-4000-a000-000000000017;11001016-0000-4000-a000-000000000016;a1001028-0000-4000-a000-000000000028;1;79.99;79.99;QUALITY_ISSUE;OPENED;Garden tools rusting after minimal use;;true
21001018-0000-4000-a000-000000000018;11001017-0000-4000-a000-000000000017;a1001030-0000-4000-a000-000000000030;1;189.99;189.99;NOT_NEEDED;NEW;Customer account inactive, cannot process;;false
21001019-0000-4000-a000-000000000019;11001018-0000-4000-a000-000000000018;a1001018-0000-4000-a000-000000000018;1;299.99;299.99;DEFECTIVE;OPENED;Stand mixer motor overheating;;false
21001020-0000-4000-a000-000000000020;11001019-0000-4000-a000-000000000019;a1001021-0000-4000-a000-000000000021;1;159.99;159.99;DAMAGED;DAMAGED;Tennis racket arrived with cracked frame;;false
